Marker	Ch1
1	6C2DD
1	169F3
1	7156C
1	1C08E
1	16D85
1	7DB62
1	1BE8C
1	6C575
1	7D12A
1	73B5D
1	1BAE7
1	17416
1	7B92D
1	1AEC1
1	6C8A7
1	7A716
1	760AF
1	6D398
1	17F6E
1	79AE7
1	1A6F5
1	6CC5B
1	788E2
1	784E6
1	6D425
1	18B21
1	79E62
1	19506
1	6C45A
1	763D5
1	7A2F5
0	1ACB2
0	711CB
0	816C3
0	6E412
0	1B971
0	4
0	171FD
0	6CECF
0	1C1BB
0	846EE
0	1731B
0	1CA4D
0	6D69F
0	84E50
0	6D311
0	1CCD3
0	86D1D
0	16586
0	1DC41
0	6A6AB
0	86EFB
0	6D044
0	1E25F
0	89115
0	15F06
0	6BFC2
0	67DAE
0	89919
0	6C907
0	1F7A3
0	662F7
0	15CF4
0	6BB8F
0	6693E
0	8C77E
0	159EF
0	2069D
0	63465
0	15716
0	6B569
0	20EA5
0	8F0AD
0	1557F
0	21ECF
0	607E4
0	8F1CF
0	6AFCA
0	224D2
0	913C7
0	14F9C
0	69F20
0	5DD64
0	915A8
0	6AB50
0	23C8B
0	5C9A0
0	15456
0	6A27D
0	5CB29
0	94B4F
0	1535B
0	25243
0	59FB1
0	1534C
0	69770
0	25856
0	9653B
0	152EE
0	262EF
0	5721E
0	967C9
0	689EC
0	271BC
0	98E4B
0	15601
0	67E59
0	54995
